자전거번호,등록일시,구분
SPB-48390,2023-01-02 16:33,단말기
SPB-38613,2023-01-02 16:37,기타 
SPB-54780,2023-01-02 16:38,타이어 
SPB-54780,2023-01-02 16:38,체인
SPB-54780,2023-01-02 16:38,페달
SPB-31793,2023-01-02 16:43,기타 
SPB-32054,2023-01-02 16:48,타이어 
SPB-53550,2023-01-02 16:51,체인
SPB-53550,2023-01-02 16:51,페달
SPB-53336,2023-01-02 16:52,기타 
SPB-43541,2023-01-02 16:55,기타 
SPB-60931,2023-01-02 16:57,기타 
SPB-35500,2023-01-02 17:00,기타 
SPB-44351,2023-01-02 17:10,체인
SPB-51994,2023-01-02 17:14,단말기
SPB-57120,2023-01-02 17:15,기타 
SPB-46678,2023-01-02 17:22,체인
SPB-46678,2023-01-02 17:22,안장
SPB-46678,2023-01-02 17:22,기타 
SPB-34605,2023-01-02 17:25,타이어 
SPB-30201,2023-01-02 17:29,기타 
SPB-43692,2023-01-02 17:30,체인
SPB-43692,2023-01-02 17:30,기타 
SPB-59467,2023-01-02 17:34,타이어 
SPB-31183,2023-01-02 17:36,타이어 
SPB-31286,2023-01-02 17:40,기타 
SPB-56685,2023-01-02 17:51,단말기
SPB-31182,2023-01-02 17:52,단말기
SPB-31182,2023-01-02 17:52,기타 
SPB-41962,2023-01-02 17:53,안장
SPB-57155,2023-01-02 18:03,타이어 
SPB-53649,2023-01-02 18:07,기타 
SPB-60912,2023-01-02 18:08,기타 
SPB-30566,2023-01-02 18:09,기타 
SPB-30751,2023-01-02 18:11,기타 
SPB-62806,2023-01-02 18:14,기타 
SPB-53160,2023-01-02 18:16,체인
SPB-53160,2023-01-02 18:16,기타 
SPB-32133,2023-01-02 18:21,기타 
SPB-48189,2023-01-02 18:21,기타 
SPB-42165,2023-01-02 18:22,기타 
SPB-41559,2023-01-02 18:22,기타 
SPB-49360,2023-01-02 18:22,체인
SPB-32044,2023-01-02 18:23,기타 
SPB-62036,2023-01-02 18:28,체인
SPB-47114,2023-01-02 18:30,기타 
SPB-52410,2023-01-02 18:30,기타 
SPB-56041,2023-01-02 18:31,체인
SPB-33984,2023-01-02 18:31,체인
SPB-59188,2023-01-02 18:31,타이어 
SPB-59188,2023-01-02 18:31,기타 
SPB-63673,2023-01-02 18:32,체인
SPB-63673,2023-01-02 18:32,기타 
SPB-52683,2023-01-02 18:32,페달
SPB-60248,2023-01-02 18:32,기타 
SPB-32486,2023-01-02 18:33,기타 
SPB-32922,2023-01-02 18:33,체인
SPB-32922,2023-01-02 18:33,페달
SPB-57615,2023-01-02 18:35,기타 
SPB-44115,2023-01-02 18:39,타이어 
SPB-44115,2023-01-02 18:39,안장
SPB-44115,2023-01-02 18:39,기타 
SPB-62958,2023-01-02 18:39,안장
SPB-51415,2023-01-02 18:40,기타 
SPB-54683,2023-01-02 18:41,기타 
SPB-37916,2023-01-02 18:43,기타 
SPB-59723,2023-01-02 18:45,체인
SPB-59723,2023-01-02 18:45,기타 
SPB-51332,2023-01-02 18:47,기타 
SPB-32986,2023-01-02 18:50,체인
SPB-32986,2023-01-02 18:50,기타 
SPB-49111,2023-01-02 18:50,페달
SPB-40720,2023-01-02 18:54,기타 
SPB-34082,2023-01-02 18:54,기타 
SPB-59141,2023-01-02 18:55,기타 
SPB-35606,2023-01-02 18:55,체인
SPB-33741,2023-01-02 18:57,체인
SPB-33741,2023-01-02 18:57,페달
SPB-64459,2023-01-02 18:58,안장
SPB-52251,2023-01-02 18:59,기타 
SPB-31368,2023-01-02 18:59,안장
SPB-33153,2023-01-02 19:01,기타 
SPB-50596,2023-01-02 19:01,페달
SPB-41795,2023-01-02 19:02,체인
SPB-48247,2023-01-02 19:03,안장
SPB-48247,2023-01-02 19:03,기타 
SPB-43634,2023-01-02 19:04,페달
SPB-30121,2023-01-02 19:10,페달
SPB-30121,2023-01-02 19:10,기타 
SPB-61374,2023-01-02 19:11,타이어 
SPB-33772,2023-01-02 19:14,기타 
SPB-63944,2023-01-02 19:16,기타 
SPB-64653,2023-01-02 19:16,기타 
SPB-51251,2023-01-02 19:24,체인
SPB-32140,2023-01-02 19:28,기타 
SPB-60276,2023-01-02 19:28,기타 
SPB-33410,2023-01-02 19:28,페달
SPB-65355,2023-01-02 19:29,안장
SPB-38911,2023-01-02 19:29,기타 
SPB-50403,2023-01-02 19:30,기타 
SPB-64268,2023-01-02 19:32,타이어 
SPB-54095,2023-01-02 19:41,체인
SPB-40622,2023-01-02 19:42,안장
SPB-65256,2023-01-02 19:43,안장
SPB-62834,2023-01-02 19:46,체인
SPB-35372,2023-01-02 19:48,안장
SPB-59035,2023-01-02 19:52,체인
SPB-43168,2023-01-02 19:53,기타 
SPB-46737,2023-01-02 19:55,안장
SPB-31325,2023-01-02 19:57,기타 
SPB-32941,2023-01-02 19:57,기타 
SPB-55484,2023-01-02 20:00,체인
SPB-54398,2023-01-02 20:00,체인
SPB-40341,2023-01-02 20:01,기타 
SPB-64674,2023-01-02 20:02,안장
SPB-63940,2023-01-02 20:09,체인
SPB-58232,2023-01-02 20:09,안장
SPB-31586,2023-01-02 20:10,단말기
SPB-59597,2023-01-02 20:23,단말기
SPB-52719,2023-01-02 20:27,타이어 
SPB-39150,2023-01-02 20:36,기타 
SPB-54087,2023-01-02 20:39,기타 
SPB-33889,2023-01-02 20:40,타이어 
SPB-54166,2023-01-02 20:40,체인
SPB-47987,2023-01-02 20:43,단말기
SPB-47987,2023-01-02 20:43,기타 
SPB-54386,2023-01-02 20:51,기타 
SPB-64327,2023-01-02 20:52,안장
SPB-52411,2023-01-02 21:02,체인
SPB-42270,2023-01-02 21:10,페달
SPB-65104,2023-01-02 21:14,안장
SPB-59694,2023-01-02 21:15,기타 
SPB-65744,2023-01-02 21:19,안장
SPB-62610,2023-01-02 21:20,체인
SPB-53472,2023-01-02 21:23,체인
SPB-53472,2023-01-02 21:23,기타 
SPB-49172,2023-01-02 21:30,안장
SPB-52506,2023-01-02 21:43,체인
SPB-61227,2023-01-02 21:44,기타 
SPB-40500,2023-01-02 21:48,기타 
SPB-48379,2023-01-02 21:52,기타 
SPB-30366,2023-01-02 22:03,기타 
SPB-45294,2023-01-02 22:04,단말기
SPB-45294,2023-01-02 22:04,기타 
SPB-82018,2023-01-02 22:04,기타 
SPB-34158,2023-01-02 22:06,기타 
SPB-56969,2023-01-02 22:11,체인
SPB-56969,2023-01-02 22:11,페달
SPB-57996,2023-01-02 22:25,기타 
SPB-48357,2023-01-02 22:26,기타 
SPB-30200,2023-01-02 22:39,단말기
SPB-33240,2023-01-02 22:40,기타 
SPB-31644,2023-01-02 22:41,기타 
SPB-64197,2023-01-02 22:51,페달
SPB-38510,2023-01-02 22:55,타이어 
SPB-50168,2023-01-02 22:56,안장
SPB-33988,2023-01-02 23:42,기타 
