 이용건수,이동거리(M),이용시간(분),고장구분,cluster,pca_x,pca_y
170623,425014562.67,3484200,747,0,127969957.0525622,-147484.03921112776
88205,168466957.04,1394230,248,1,-128586173.33658855,-121746.39976753615
153562,352834296.96,2920235,592,3,55787493.31343949,-116046.1211819876
174519,434352801.91,3593110,723,0,137308777.6640987,-115574.02152530797
165729,408183019.54,3446652,653,3,111138675.8752351,-46246.20905100914
51328,122594819.7,1092980,144,2,-174459245.0817486,-45269.53857948933
113121,342827038.43,2965291,316,3,45780933.36010926,10572.406863915387
169162,512146465.38,4417564,673,0,215106588.3618075,66510.70768306224
181355,463302699.04,3820994,748,0,166259570.3098276,-126493.61584727543
191697,495446785.77,4083960,844,0,198404734.2535589,-128614.82408577327
177946,429491545.41,3597411,687,0,132447723.36261484,-71074.34946189295
15582,31688148.15,280014,30,2,-265369536.53859162,-108679.97612236762
38108,98949370.12,871002,101,2,-198105724.31011364,-72376.6035904847
122748,376660398.73,3210732,439,3,79615168.58408692,-23025.469210011306
178649,457581673.31,3783176,744,0,160538426.6518196,-117155.7314486325
186369,476327876.07,3896739,833,0,179284930.041266,-158134.27917155545
188817,483638125.07,3958911,748,0,186595443.58145604,-156247.17287686255
188662,480530358.85,3948169,735,0,183487694.57269132,-141343.98612639343
191292,495394082.05,4143413,723,0,198352522.44625458,-68757.22980296699
164529,493562897.23,4307164,500,0,196522741.177994,109385.61988180736
159837,528562706.26,4549329,502,0,231523353.5098912,62532.43505102806
191109,498611508.21,4065261,814,0,201569194.51550007,-173437.38160207478
191712,485413956.72,3955822,847,0,188371190.2651915,-173917.58186993058
193523,489433594.68,3998860,781,0,192391046.83830646,-164019.5321944587
175232,427101858.88,3470212,651,0,130057068.39816496,-178577.45678903448
200047,522395374.4,4368017,708,0,225354750.28409293,-66828.2107917086
170199,505207939.47,4402635,549,0,208168176.01015195,108869.39082785952
146661,448604379.6,3839879,500,0,151561895.3639882,12816.017435151864
178832,435615079.52,3575855,746,0,138570871.4672573,-143132.59128119628
199091,513214252.77,4183303,863,0,216172417.84574574,-175740.04510435532
197704,502607048.31,4093962,771,0,205564837.45563495,-177554.022879259
194903,493487636.06,4036521,791,0,196445261.17356345,-159791.23017063737
195431,499098554.1,4181372,648,0,202057182.7547918,-61277.995177915545
31640,80472213.22,630286,89,2,-216584239.0933184,-160696.81816907233
4992,10739563.7,98018,10,2,-286318911.8938883,-118008.10138826405
142075,461819363.96,3914401,455,0,164777042.60346884,-21851.435164067607
188615,472035155.67,3869208,826,0,174992129.58399388,-150176.58943550993
196321,494259781.99,4047422,744,0,197217471.18008015,-155230.57247642422
199157,503222622.12,4123874,769,0,206180637.45342392,-152695.94926833452
201999,513746779.34,4290679,761,0,216705812.70438474,-72723.03161671848
170763,505586871.3,4393888,568,0,208547022.99811363,97012.39756273018
155375,491575578.56,4166248,511,0,194534325.06272274,-15309.760954048852
194303,518968007.23,4345431,753,0,221927311.6382603,-61266.142546087576
167365,526284934.94,4439798,538,0,229244759.12741584,-27978.402895737843
196584,490583856.5,4013559,856,0,193541391.73593983,-158741.6781966198
169185,388510803.0,3164841,671,3,91464806.66218314,-165539.79509568217
193083,491113976.21,4117368,760,0,194072348.2180323,-59429.420751104066
141920,373453925.1,3223460,470,3,76408915.65136932,16633.22502925845
131270,406308927.61,3453604,418,3,109264693.3532693,-24685.51773692786
183366,437033131.71,3585993,770,0,139988960.50607064,-144587.48630253947
203582,515292378.53,4203266,822,0,218250638.97716698,-172821.2987381242
189560,467655200.78,3787460,766,0,170611650.08490413,-195729.78003654853
199262,494720186.47,4077967,765,0,197678112.8596347,-128422.37753846114
200401,499847022.43,4183676,736,0,202805646.28686216,-65027.992018720644
164879,464830211.2,4021306,550,0,167788676.62420335,60736.65181986701
140332,409460085.67,3415561,465,3,112415433.47396879,-88494.38827598264
